TradeName,ScientificName,Size,SizeUnit,DrugType,LegalStatus,Manufacture_Name,Manufacture_Country,AuthorizationStatus,LastUpdate
HISTOP TAB 4MG,CHLORPHENIRAMINE MALEATE,-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,9/13/2022
HI- QUIN 2% CREAM,HYDROQUINONE,30,g,Generic,OTC,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,3/27/2023
HARTMANNS SOLUTION 1\2,SODIUM LACTATE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
HARNAL 0.4MG MODIFIED RELEASE CAPSULES,TAMSULOSIN HYDROCHLORIDE,-,-,NCE,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,3/17/2025
HAEMODIALYSIS CONCENTRATE SOLUTION 35 F1,"SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM ACETATE,DEXTROSE",10,l,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/30/2022
HAEMODIALYSIS CONCENTRATE SOLUTION 35 F1,"SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM ACETATE,DEXTROSE",5,l,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/30/2022
HEMAMAX 100 MG CHEWABLE OR SWALLOWABLE TABLETS,IRON POLYMALTOSE,-,-,Generic,OTC,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,8/29/2022
HEMAMAX 50 MG-5ML SYRUP,IRON POLYMALTOSE,100,ml,Generic,OTC,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,8/29/2022
HEMAMAX F CHEWABLE TABLETS,"FERRIC HYDROXIDE,FOLIC ACID",-,-,Generic,OTC,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,11/21/2022
HEPIX 100MG F-C TABLETS,LAMIVUDINE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,8/29/2022
HI CARE CREAM,HYDROQUINONE,60,g,Generic,OTC,SAUDI PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,8/21/2024
HYMOX 125MG-5ML POWDER FOR ORAL SUSPENSION,AMOXICILLIN,100,ml,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,4/24/2025
HYFRESH 2 MG- ML OPHTHALMIC SOLUTION,HYALURONIC ACID,10,ml,Generic,OTC,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,8/29/2022
HYMOX 250MG CAPS,AMOXICILLIN,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,2/10/2025
HYDRODERM CREAM PLUS,"HYDROQUINONE,RETINOIC ACID,DEXAMETHASONE SODIUM PHOSPHATE",30,g,NCE,Prescription,Dallah Pharma Factory,Saudi Arabia,Valid,1/9/2025
HYMOX 250MG-5ML POWDER FOR ORAL SUSPENSION,AMOXICILLIN,100,ml,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,2/10/2025
HYMOX 500MG CAPS,AMOXICILLIN,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,2/10/2025
ICHTHAMMOL 10% OINTMENT,ICHTHAMMOL,30,ml,Generic,OTC,Dallah Pharma Factory,Saudi Arabia,Valid,7/27/2025
Brofenex 5GM- 100GM CREAM,IBUPROFEN,50,g,Generic,OTC,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,12/4/2024
HYMOX 875 mg film-coated tablet,AMOXICILLIN,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,2/10/2025
FLUTAB TABLET,"PARACETAMOL,PSEUDOEPHEDRINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE",-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,1/14/2025
FLUTAB Sinus TABLETS,"PARACETAMOL,PSEUDOEPHEDRINE HYDROCHLORIDE",-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,5/22/2025
DIVIDO 75MG DUAL RELEASE CAP,DICLOFENAC SODIUM,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,8/29/2022
DISPRIN,ACETYLSALICYLIC ACID,-,-,Generic,OTC,RIYADH PHARMA,Saudi Arabia,Valid,11/7/2023
DOMPY 10MG TABLET,DOMPERIDONE,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,10/16/2024
DOMPY 0.1% ORAL SUSPENTION,DOMPERIDONE,200,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,10/17/2024
DOLVIC- K 50 MG F- C TABLETS,DICLOFENAC POTASSIUM,-,-,Generic,Prescription,Med city,Saudi Arabia,Valid,4/15/2025
DICLOMAX 50 MG TAB,DICLOFENAC SODIUM,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,3/30/2023
DICLOMAX 25MG TAB,DICLOFENAC SODIUM,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,8/21/2024
DICLOMAX 1% EMULGEL,DICLOFENAC SODIUM,50,g,Generic,OTC,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,3/27/2023
EARCALM,"PHENAZONE,BENZOCAINE",5,ml,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,6/6/2024
DUSPATALIN 200MG PROLONGED RELEASE CAPS,MEBEVERINE HYDROCHLORIDE,-,-,Generic,Prescription,AJA PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,7/27/2025
DUSPAMEN 135MG TAB,MEBEVERINE HYDROCHLORIDE,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,5/8/2025
DURACAN 150MG CAPSULE,FLUCONAZOLE,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,2/10/2025
ECZADERM 0.1% W-W OINTMENT,MOMETASONE FUROATE,30,g,Generic,Prescription,BATTERJEE PHARMACETICAL FACTORY,Saudi Arabia,Valid,7/13/2025
ECZADERM 0.1% W-W CREAM,MOMETASONE FUROATE,30,g,Generic,Prescription,BATTERJEE PHARMACETICAL FACTORY,Saudi Arabia,Valid,10/22/2023
DOXIVENIL,CALCIUM DOBESILATE MONOHYDRATE,-,-,NCE,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,3/30/2023
DOXYCIN,DOXYCYCLINE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,4/24/2025
DROF 2% SHAMPOO,KETOCONAZOLE,100,ml,Generic,Prescription,DEEF PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,1/29/2025
"DEXTROSE,SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
0.18% W/V SODIUM CHLORIDE and 5% W/V DEXTROSE intravenous infusion,"DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
0.18% W/V SODIUM CHLORIDE and 5% W/V DEXTROSE intravenous infusion,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
0.18% W/V SODIUM CHLORIDE and 5% W/V DEXTROSE intravenous infusion,"DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,6/11/2024
DEXTROSE 50%,DEXTROSE,10,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 50%,DEXTROSE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
50% w/v DEXTROSE intravenous infusion,DEXTROSE,50,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,10/3/2023
DEXTROSE 50%,DEXTROSE,100,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 50%,DEXTROSE,5,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
DEXTROSE 50%,DEXTROSE,20,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,9/22/2024
DEXTROSE 50%,DEXTROSE,250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
50%W/V DESTROSE intravenous infusion,DEXTROSE,500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/16/2023
0.18% W/V SODIUM CHLORIDE and 5% W/V DEXTROSE intravenous infusion,"DEXTROSE,CALCIUM CHLORIDE DIHYDRATE, MAGNESIUM CHLORIDE 6H2O, SODIUM CHLORIDE, POTASSIUM CHLORIDE, DISODIUM PHOSPHATE DIHYDRATE, SODIUM HYDROGEN CARBONATE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE,N.SALINE","DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE,N.SALINE","DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE,N.SALINE","DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE,N.SALINE","DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE, SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE, SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
0.18% W/V SODIUM CHLORIDE and 5% W/V DEXTROSE intravenous infusion,"DEXTROSE,SODIUM CHLORIDE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE, SOD.CHLORIDE","DEXTROSE,SODIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/9/2022
"DEXTROSE, HARTMANNS","DEXTROSE,SODIUM CHLORIDE,SODIUM LACTATE,POTASSIUM CHLORIDE, CALCIUM CHLORIDE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/24/2022
DIANEAL PD4 GLUCOSE 3.86% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",2000,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 2.27% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",5000,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 2.27% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",3000,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 2.27% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",2500,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 2.27% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",2000,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 3.86% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",2500,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 3.86% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",3000,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 3.86% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",5000,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 1.36% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",5000,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 1.36% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM LACTATE,SODIUM CHLORIDE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",3000,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 1.36% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",2500,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
DIANEAL PD4 GLUCOSE 1.36% SOLUTION FOR PERITONEAL DIALYSIS,"SODIUM CHLORIDE,SODIUM LACTATE,CALCIUM CHLORIDE,GLUCOSE,MAGNESIUM CHLORIDE",2000,ml,Generic,Prescription,BAXTER CO LIMITED,Saudi Arabia,Valid,4/2/2023
CO-VALISTA,"VALSARTAN,HYDROCHLOROTHIAZIDE",-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,3/20/2023
ELDOQUIN FORT 4% CREAM,HYDROQUINONE,15,g,NCE,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,5/1/2024
ELICA 0.1% CREAM,MOMETASONE FUROATE,30,g,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,3/27/2023
FEVADOL FAST 500MG TABLETS,"SODIUM BICARBONATE,PARACETAMOL",-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,11/7/2024
FEVADOL EXTRA TAB.,"PARACETAMOL,CAFFEINE CITRATE",-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,1/7/2025
FEVADOL COLD & FLU TABLETS,"PARACETAMOL,PSEUDOEPHEDRINE HYDROCHLORIDE,CHLORPHENIRAMINE MALEATE",-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,11/7/2024
FEVADOL 500MG TAB,PARACETAMOL,-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,7/9/2025
FEVADOL 350MG SUPPOSITORY,PARACETAMOL,-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,7/27/2025
FEVADOL 200MG SUPPOSITORY,PARACETAMOL,-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,7/27/2025
FEVADOL 100MG SUPPOSITORY,PARACETAMOL,-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,7/27/2025
FEROTON 20MG-ML SOLU. FOR I.V. INJECTION,IRON SUCROSE,5,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,8/31/2022
FEROSE TAB (EQV.TO 100MG OF IRON),IRON POLYMALTOSE,-,-,NCE,OTC,SPIMACO,Saudi Arabia,Valid,8/29/2022
FEVADOL PLUS TAB,"PARACETAMOL,CAFFEINE CITRATE,CODEINE",-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,11/8/2023
FEVADOL SF 120MG\5ML SYRUP,PARACETAMOL,100,ml,Generic,OTC,SPIMACO,Saudi Arabia,Valid,10/9/2022
FEVADOL SF 120MG\5ML SYRUP,PARACETAMOL,145,ml,Generic,OTC,SPIMACO,Saudi Arabia,Valid,10/9/2022
FEVADOL SYRUP 120MG-5ML,PARACETAMOL,100,ml,Generic,OTC,SPIMACO,Saudi Arabia,Valid,10/9/2022
FIXIT 300MG CAPSULE,NIZATIDINE,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,8/29/2022
FIXIT 150MG CAPSULE,NIZATIDINE,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,3/27/2023
FIXIT 150MG CAPSULE,NIZATIDINE,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,8/29/2022
FEROSE SYRUP 50MG-5ML,IRON POLYMALTOSE,100,ml,NCE,OTC,SPIMACO,Saudi Arabia,Valid,7/27/2025
FINISCAR 5MG F.C. TABLETS,FINASTERIDE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,5/8/2024
FEXOTEL 120MG TABLET,FEXOFENADINE HYDROCHLORIDE,-,-,Generic,OTC,BATTERJEE PHARMACETICAL FACTORY,Saudi Arabia,Valid,8/21/2024
FEXODINE 180MG TABLET,FEXOFENADINE HYDROCHLORIDE,-,-,Generic,OTC,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,11/26/2024
FEXODINE 120MG TABLET,FEXOFENADINE HYDROCHLORIDE,-,-,Generic,OTC,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,11/26/2024
FEVADOL SYRUP 160MG-5ML SUGAR FREE,PARACETAMOL,145,ml,Generic,OTC,SPIMACO,Saudi Arabia,Valid,8/29/2022
FEVADOL SYRUP 160MG-5ML SUGAR FREE,PARACETAMOL,100,ml,Generic,OTC,SPIMACO,Saudi Arabia,Valid,8/29/2022
FINASID 5MG FILM COATED TABLET,FINASTERIDE,-,-,Generic,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,5/8/2024
FEROSAC INJ 20MG-ML AMP,IRON SUCROSE,5,ml,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,5/22/2025
FENAM 250MG TAB,MEFENAMIC ACID,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,3/30/2023
FELDENE 20MG-ML AMP.,PIROXICAM,1,ml,NCE,Prescription,SPIMACO,Saudi Arabia,Valid,8/29/2022
FELDENE 20MG DISPERSABLE TAB,PIROXICAM,-,-,NCE,Prescription,SPIMACO,Saudi Arabia,Valid,7/27/2025
FENAM 50MG-5ML SYRUP,MEFENAMIC ACID,120,ml,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,6/19/2025
FENAM FORTE 500MG TAB,MEFENAMIC ACID,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,11/26/2024
FEROMIN ORAL DROPS,FERROUS SULFATE,30,ml,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,9/29/2022
FEROMIN,FERROUS SULFATE,-,-,Generic,OTC,RIYADH PHARMA,Saudi Arabia,Valid,3/30/2023
FEROSE - F TABLET,"FERRIC HYDROXIDE,FOLIC ACID",-,-,NCE,OTC,SPIMACO,Saudi Arabia,Valid,7/9/2025
FLAMAZINE CREAM,SULFADIAZINE SILVER,50,g,Generic,OTC,RIYADH PHARMA,Saudi Arabia,Valid,5/8/2025
FLUCO-SOL 2MG/ML SOLUTION FOR I.V. INFUSION,FLUCONAZOLE,100,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,2/28/2023
FLUCA OPTHALMIC SUSP.,"FLUOROMETHOLONE,SODIUM CROMOGLICATE",5,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,9/3/2023
FLUMED DM PAED SYRUP,"PSEUDOEPHEDRINE HYDROCHLORIDE,DEXTROMETHORPHAN HYDROBROMIDE,CHLORPHENIRAMINE MALEATE",100,ml,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,5/8/2025
FLAZOL 500MG TAB,METRONIDAZOLE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,3/17/2024
FLAZOL 125MG-5ML ORAL SUSP,METRONIDAZOLE,120,ml,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,11/12/2024
FLATICON 60MG CHEWABLE TABLETS,SIMETHICONE,-,-,Generic,OTC,RIYADH PHARMA,Saudi Arabia,Valid,7/8/2025
FLATICON 40MG CHEWABLE TABLETS,SIMETHICONE,-,-,Generic,OTC,RIYADH PHARMA,Saudi Arabia,Valid,7/8/2025
FLOZAK,FLUOXETINE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,11/26/2024
FLOCAZOLE 150 MG CAPSULES,FLUCONAZOLE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,10/23/2024
FLOCAZOLE 50 MG CAPSULES,FLUCONAZOLE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,2/22/2024
FATLOS 120MG CAPSULES,ORLISTAT,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,8/29/2022
FATLOS 120MG CAPSULES,ORLISTAT,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,8/29/2022
ENTAPRO 20MG FILM COATED TABLETS,ESCITALOPRAM,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,2/17/2025
ENTAPRO 10MG FILM COATED TABLETS,ESCITALOPRAM,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,2/17/2025
ELICASAL OINTMENT,"SALICYLIC ACID,MOMETASONE FUROATE",30,g,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,2/19/2023
ELICA-M CREAM,"MICONAZOLE NITRATE,MOMETASONE FUROATE",30,g,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,2/19/2023
ELICA 0.1% OINTMENT,MOMETASONE FUROATE,30,g,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,3/14/2023
ENAPRIL 10 MG TAB,ENALAPRIL MALEATE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,8/29/2022
EXYLIN PEDIATRIC SYRUP,"DIPHENHYDRAMINE HYDROCHLORIDE,MENTHOL",100,ml,Generic,OTC,SPIMACO,Saudi Arabia,Valid,11/24/2022
EXYLIN SYRUP 14MG-5ML,DIPHENHYDRAMINE HYDROCHLORIDE,100,ml,Generic,OTC,SPIMACO,Saudi Arabia,Valid,10/3/2022
FAST- FLAM 50MG F.C. TABLETS,DICLOFENAC POTASSIUM,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,3/20/2023
FALLAH 50 mg film-coated tablets,SILDENAFIL,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,2/27/2023
FALLAH 25 mg film-coated tablets,SILDENAFIL,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,2/27/2023
FACTIVE 320MG F.C. TABLETS,GEMIFLOXACIN MESILATE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,10/16/2024
FACTIVE 320MG F.C. TABLETS,GEMIFLOXACIN MESILATE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,10/16/2024
EZIPECT 12.5MG-5ML SYRUP,DIPHENHYDRAMINE HYDROCHLORIDE,100,ml,Generic,OTC,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,3/6/2025
EZILAX 10G-15ML SYRUP,LACTULOSE,300,ml,Generic,OTC,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,2/10/2025
FALLAH 100 mg film-coated tablets,SILDENAFIL,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,2/27/2023
ERECTA 50 mg film-coated tablets,SILDENAFIL,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,8/29/2022
ERECTA 100 mg film-coated tablets,SILDENAFIL,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,10/16/2024
ELDOQUIN FORT 4% CREAM,HYDROQUINONE,30,g,NCE,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,7/15/2025
CO-VALISTA,"VALSARTAN,HYDROCHLOROTHIAZIDE",-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,11/9/2022
ROFLAST 500 mcg,ROFLUMILAST,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,8/29/2022
Relaxon Forte 500MG TAB,CHLORZOXAZONE,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,8/21/2024
COVATEL,"TELMISARTAN,AMLODIPINE BESILATE",-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,11/28/2022
COVATEL,"TELMISARTAN,AMLODIPINE BESILATE",-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,11/28/2022
VERCANZA 450 MG FILM COATED TABLET,Valganciclovir,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,6/19/2025
LEUKAIR 10MG F.C.TABLET,MONTELUKAST SODIUM,-,-,Generic,Prescription,SAUDI PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,3/20/2024
ZORON 2MG/ML INJECTION,ONDANSETRON,2,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,8/21/2024
ZORON 2MG/ML INJECTION,ONDANSETRON,4,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,8/21/2024
MEBAGEN SR 200MG CAPSULE,MEBEVERINE HYDROCHLORIDE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,11/26/2024
ABIRATERONE SPC 250MG F.C.TABLET,ABIRATERONE ACETATE,-,-,Generic,Prescription,Sudair Pharma Company,Saudi Arabia,Valid,8/21/2024
