TradeName,ScientificName,Size,SizeUnit,DrugType,LegalStatus,Manufacture_Name,Manufacture_Country,AuthorizationStatus,LastUpdate
PROKININ 5MG-5ML SUSPENSION,DOMPERIDONE,180,ml,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,5/9/2024
PROKININ 10MG F-C TABLETS,DOMPERIDONE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,5/9/2024
PROF Cold & Flu Film coated tablet,"IBUPROFEN,PSEUDOEPHEDRINE HYDROCHLORIDE,CHLORPHENIRAMINE MALEATE",-,-,Generic,OTC,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,7/19/2023
PROF 600 MG TAB,IBUPROFEN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,7/19/2023
PROF 400 MG TAB,IBUPROFEN,-,-,Generic,OTC,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,7/19/2023
PROF 100MG-5ML SUSP,IBUPROFEN,100,ml,Generic,OTC,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,7/19/2023
PROMAX 0.05% OINTMENT,CLOBETASOL PROPIONATE,30,g,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,9/30/2024
PROSTA TAB,TAMSULOSIN HYDROCHLORIDE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,4/24/2025
PREX 75MG CAPSULE,PREGABALIN,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,11/9/2023
PREX 75MG CAPSULE,PREGABALIN,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,11/9/2023
PREX 50MG CAPSULE,PREGABALIN,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,11/9/2023
PREX 50MG CAPSULE,PREGABALIN,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,11/9/2023
PREX 150MG CAPSULE,PREGABALIN,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,11/9/2023
PREX 150MG CAPSULE,PREGABALIN,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,11/9/2023
PRILA 5% CREAM,"LIDOCAINE HYDROCHLORIDE,PRILOCAINE",5,g,Generic,Prescription,(Avalon Pharma) Middle East Pharmaceutical Industries Co. Ltd,Saudi Arabia,Valid,6/17/2025
PREGADEX 75 MG CAPSULE,PREGABALIN,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,4/24/2025
PROTEC 2 GM Injection*,CEFEPIME HYDROCHLORIDE,10,ml,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,10/16/2024
QUINOX 750MG F- C TABLET,CIPROFLOXACIN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,2/10/2025
QUINOX 500 MG TAB,CIPROFLOXACIN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,2/10/2025
QUINOX 250 MG F- C TAB,CIPROFLOXACIN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,2/10/2025
RAPIDUS 50 MG F.C. TABLET,DICLOFENAC POTASSIUM,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,9/30/2022
